使君子科	Combretaceae
千屈菜科	Lythraceae
柳叶菜科	Onagraceae
萼囊花科	Vochysiaceae
桃金娘科	Myrtaceae
野牡丹科	Melastomataceae
隐翼木科	Crypteroniaceae
双隔果科	Alzateaceae
管萼木科	Penaeaceae
脱皮檀科	Aphloiaceae
四轮梅科	Geissolomataceae
栓皮果科	Strasburgeriaceae
省沽油科	Staphyleaceae
马拉花科	Guamatelaceae
旌节花科	Stachyuraceae
缨子木科	Crossosomataceae
苦榄木科	Picramniaceae
熏倒牛科	Biebersteiniaceae
白刺科	Nitrariaceae
四合椿科	Kirkiaceae
橄榄科	Burseraceae
漆树科	Anacardiaceae
无患子科	Sapindaceae
芸香科	Rutaceae
苦木科	Simaroubaceae
楝科	Meliaceae
柳红莓科	Gerrardinaceae
红毛椴科	Petenaeaceae
瘿椒树科	Tapisciaceae
十齿花科	Dipentodontaceae
岩寄生科	Cytinaceae
文定果科	Muntingiaceae
沙莓草科	Neuradaceae
锦葵科	Malvaceae
龙眼茶科	Sphaerosepalaceae
瑞香科	Thymelaeaceae
红木科	Bixaceae
半日花科	Cistaceae
苞杯花科	Sarcolaenaceae
龙脑香科	Dipterocarpaceae
叠珠树科	Akaniaceae
旱金莲科	Tropaeolaceae
辣木科	Moringaceae
番木瓜科	Caricaceae
沼沫花科	Limnanthaceae
青莲木科	Setchellanthaceae
刺枝木科	Koeberliniaceae
球枝木科	Tiganophytaceae
肉穗果科	Bataceae
刺茉莉科	Salvadoraceae
丝履花科	Emblingiaceae
芹味草科	Tovariaceae
忘忧果科	Pentadiplandraceae
环蕊木科	Gyrostemonaceae
木樨草科	Resedaceae
山柑科	Capparaceae
白花菜科	Cleomaceae
十字花科	Brassicaceae
毒羊树科	Aextoxicaceae
红珊藤科	Berberidopsidaceae
润肺木科	Strombosiaceae
赤苍藤科	Erythropalaceae
海檀木科	Ximeniaceae
兜帽果科	Aptandraceae
蚊母檀科	Octoknemaceae
檀榛科	Coulaceae
铁青树科	Olacaceae
蛇菰科	Balanophoraceae
山柚子科	Opiliaceae
檀香科	Santalaceae
羽毛果科	Misodendraceae
青皮木科	Schoepfiaceae
宿苞蛇菰科	Mystropetalaceae
桑寄生科	Loranthaceae
瓣鳞花科	Frankeniaceae
柽柳科	Tamaricaceae
白花丹科	Plumbaginaceae
蓼科	Polygonaceae
茅膏菜科	Droseraceae
猪笼草科	Nepenthaceae
露松科	Drosophyllaceae
双钩叶科	Dioncophyllaceae
钩枝藤科	Ancistrocladaceae
棒状木科	Rhabdodendraceae
油蜡树科	Simmondsiaceae
唐松木科	Physenaceae
翼萼茶科	Asteropeiaceae
灯粟草科	Macarthuriaceae
鬼椒草科	Microteaceae
石竹科	Caryophyllaceae
玛瑙果科	Achatocarpaceae
苋科	Amaranthaceae
鹂眼果科	Stegnospermataceae
麻粟草科	Limeaceae
黄尾蓬科	Lophiocarpaceae
蓬粟草科	Kewaceae
商陆藤科	Barbeuiaceae
针晶粟草科	Gisekiaceae
番杏科	Aizoaceae
商陆科	Phytolaccaceae
蒜香草科	Petiveriaceae
萝卜藤科	Agdestidaceae
肉刺蓬科	Sarcobataceae
紫茉莉科	Nyctaginaceae
粟米草科	Molluginaceae
水卷耳科	Montiaceae
刺戟木科	Didiereaceae
落葵科	Basellaceae
南荒蓬科	Halophytaceae
土人参科	Talinaceae
马齿苋科	Portulacaceae
回欢草科	Anacampserotaceae
仙人掌科	Cactaceae
蓝果树科	Nyssaceae
水穗草科	Hydrostachyaceae
绣球科	Hydrangeaceae
刺莲花科	Loasaceae
铩木科	Curtisiaceae
愚人莓科	Grubbiaceae
山茱萸科	Cornaceae
凤仙花科	Balsaminaceae
蜜囊花科	Marcgraviaceae
四贵木科	Tetrameristaceae
福桂树科	Fouquieriaceae
花荵科	Polemoniaceae
玉蕊科	Lecythidaceae
肋果茶科	Sladeniaceae
五列木科	Pentaphylacaceae
山榄科	Sapotaceae
柿科	Ebenaceae
报春花科	Primulaceae
山茶科	Theaceae
山矾科	Symplocaceae
岩梅科	Diapensiaceae
安息香科	Styracaceae
瓶子草科	Sarraceniaceae
捕虫木科	Roridulaceae
猕猴桃科	Actinidiaceae
桤叶树科	Clethraceae
鞣木科	Cyrillaceae
杜鹃花科	Ericaceae
帽蕊草科	Mitrastemonaceae
钩药茶科	Oncothecaceae
茶茱萸科	Icacinaceae
水螅花科	Metteniusaceae
杜仲科	Eucommiaceae
丝缨花科	Garryaceae
茜草科	Rubiaceae
龙胆科	Gentianaceae
马钱科	Loganiaceae
钩吻科	Gelsemiaceae
夹竹桃科	Apocynaceae
紫草科	Boraginaceae
黄漆姑科	Vahliaceae
旋花科	Convolvulaceae
茄科	Solanaceae
瓶头梅科	Montiniaceae
楔瓣花科	Sphenocleaceae
田基麻科	Hydroleaceae
戴缨木科	Plocospermataceae
香茜科	Carlemanniaceae
木樨科	Oleaceae
四核香科	Tetrachondraceae
盾药花科	Peltantheraceae
荷包花科	Calceolariaceae
苦苣苔科	Gesneriaceae
车前科	Plantaginaceae
玄参科	Scrophulariaceae
耀仙木科	Stilbaceae
母草科	Linderniaceae
腺毛草科	Byblidaceae
角胡麻科	Martyniaceae
芝麻科	Pedaliaceae
爵床科	Acanthaceae
